employeeID,Type,fName,lName,address,contact_number,email,start_date
1001,Teacher,John,Smith,123 Main St,555-1234,john.smith@school.com,2010-09-01
1002,Principal,Alice,Johnson,456 Oak Ave,555-5678,alice.johnson@school.com,2005-01-15
1003,Medic,Robert,Brown,789 Pine Ln,555-9012,robert.brown@school.com,2012-03-20
1004,Administrator,Emily,Wilson,246 Maple Dr,555-3456,emily.wilson@school.com,2015-07-01
1005,Counselor,David,Garcia,135 Cedar Rd,555-7890,david.garcia@school.com,2018-11-05
1006,Teacher,Mary,Rodriguez,987 Elm St,555-2468,mary.rodriguez@school.com,2011-08-22
1007,Principal,Christopher,Williams,321 Birch Ave,555-1357,chris.williams@school.com,2003-09-01
1008,Medic,Linda,Davis,654 Walnut St,555-8642,linda.davis@school.com,2017-02-10
1009,Administrator,James,Miller,852 Oak St,555-9753,james.miller@school.com,2014-06-01
1010,Counselor,Jennifer,Martinez,753 Pine Ave,555-1597,jennifer.martinez@school.com,2019-01-28
1011,Teacher,Michael,Brown,456 Oak Ave,555-1122,michael.brown@school.com,2010-01-10
1012,Teacher,Jessica,Davis,789 Pine Ln,555-3344,jessica.davis@school.com,2011-02-15
1013,Teacher,Christopher,Wilson,246 Maple Dr,555-5566,chris.wilson@school.com,2012-03-20
1014,Teacher,Amanda,Garcia,135 Cedar Rd,555-7788,amanda.garcia@school.com,2013-04-25
1015,Teacher,David,Rodriguez,987 Elm St,555-9900,david.rodriguez@school.com,2014-05-30
1016,Teacher,Angela,Williams,321 Birch Ave,555-2211,angela.williams@school.com,2015-06-05
1017,Teacher,Brian,Miller,852 Oak St,555-4433,brian.miller@school.com,2016-07-10
1018,Teacher,Nicole,Martinez,753 Pine Ave,555-6655,nicole.martinez@school.com,2017-08-15
1019,Principal,Thomas,Young,4041 Oak Ave,555-9013,thomas.young@school.com,2018-04-15
1020,Medic,Sarah,Clark,5052 Pine Ln,555-8765,sarah.clark@school.com,2019-09-01
1021,Administrator,Kevin,Lewis,6063 Maple Dr,555-2109,kevin.lewis@school.com,2020-10-10
1022,Counselor,Kimberly,Hall,7074 Cedar Rd,555-5432,kimberly.hall@school.com,2021-11-20
1023,Teacher,James,Wright,8085 Elm St,555-8769,james.wright@school.com,2022-12-01
1024,Principal,Stephanie,Lopez,9096 Birch Ave,555-1034,stephanie.lopez@school.com,2004-02-01
1025,Medic,Gary,Hill,10107 Walnut St,555-4321,gary.hill@school.com,2016-03-01
1026,Administrator,Michelle,Carter,11118 Oak St,555-7654,michelle.carter@school.com,2013-04-01
1027,Counselor,Timothy,Baker,12129 Pine Ave,555-0987,timothy.baker@school.com,2015-05-01
1028,Teacher,Angela,Green,13130 Cedar Rd,555-3210,angela.green@school.com,2018-06-01
1029,Principal,Philip,Roberts,14141 Elm St,555-6543,philip.roberts@school.com,2007-07-01
1030,Medic,Evelyn,Turner,15152 Birch Ave,555-9876,evelyn.turner@school.com,2020-08-01
